memo,key,value,,
,,,,
■キャラクター名,,,,
,name_heroine,Nijouin Nadeshiko,,
,name_player_default,Nhân vật chính,,
,name_女生徒,Nữ sinh,,
,name_女教師,Cô giáo,,
,name_養護教諭,Giáo viên y tế,,
,name_体育教師,Giáo viên thể dục,,
,name_金持ち,Nhà giàu,,
,name_御父様,Phụ thân,,
,name_司会,Người dẫn chương trình,,
,name_作業員,Nhân viên thi công,,
,name_出席者_男,Khách mời,,
,name_出席者_女,Khách mời,,
,,,,
,name_社長A,Giám đốc A,,
,name_社長B,Giám đốc B,,
,name_社長C,Giám đốc C,,
,name_市長,Thị trưởng,,
,name_天宮寺会長,Chủ tịch Amamiyaji,,
,name_記者,Phóng viên,,
,name_議員,Nghị viên,,
,name_会長,Chủ tịch,,
,name_スポーツ選手,Vận động viên thể thao,,
,name_元選手,Cựu vận động viên,,
,name_UTuber,UTuber,,
,,,,
■汎用,,,,
,,,,
,,,,
,次へ,Tiếp,,
,キャンセル,Hủy,,
,閉じる,Đóng,,
,削除,Xóa,,
,リセット,Reset,,
,保存,Lưu,,
,戻る,Quay lại,,
,,,,
,LOAD,Tải game,,
,SAVE,Lưu game,,
,,,,
,通常,Bình thường,,
,混乱,Hỗn loạn,,
,催眠,Thôi miên,,
,金縛り,Bất động,,
,常識改変,Thay đổi nhận thức,,
,発情,Động dục,,
,連続絶頂,Lên đỉnh liên tục,,■0829追加
,,,,
,normal_now,Bình thường,,
,konran_now,Đang Hỗn loạn,,
,saimin_now,Đang Thôi miên,,
,mahi_now,Đang Bất động,,
,kaihen_now,Đang bị Thay đổi nhận thức,,
,hatujyou_now,Đang Động dục,,
,,,,
,location_廊下,Hành lang,,
,location_校舎裏,Sân sau khu học xá,,
,location_保健室,Phòng y tế,,
,location_教室,Lớp học,,
,location_教室（集団洗脳）,Lớp học (Tẩy não tập thể),,
,location_体育倉庫,Kho dụng cụ thể chất,,
,location_パーティー会場,Sảnh tiệc,,
,location_パーティー会場（集団洗脳）,Sảnh tiệc (Tẩy não tập thể),,
,,,,
■ZoneName,,,,
,乳首　右,Núm vú Phải,,
,乳房　右,Bầu vú Phải,,
,乳首　左,Núm vú Trái,,
,乳房　左,Bầu vú Trái,,
,乳輪　右,Quầng vú Phải,,
,乳輪　左,Quầng vú Trái,,
,クリトリス,Hột le,,
,膣,Lồn,,
,Gスポット,Điểm G,,
,子宮,Tử cung,,
,ポルチオ,Cổ tử cung,,
,アナル,Hậu môn,,
,膣奥,Sâu trong lồn,,
,膣入り口,Cửa lồn,,
,アナル入り口,Cửa hậu môn,,
,アナル奥,Sâu trong hậu môn,,
,脇,Nách,,
,鼠径部,Háng,,
,尻,Mông,,
,内もも,Đùi trong,,
,体,Cơ thể,,
,膣挿入,Đút vào lồn,,
,アナル挿入,Đút vào hậu môn,,
,膣ペニス,Cặc trong lồn,,
,アナルペニス,Cặc trong lỗ đít,,
,乳首,Núm vú,,
,乳房,Bầu vú,,
,乳輪,Quầng vú,,
,その他　体,Khác - Cơ thể,,
,,,,
,口,Miệng,,
,唇,Môi,,
,喉奥,Cuống họng,,
,顔,Mặt,,
,耳,Tai,,
,,,,
,zoneicon_処女喪失,Mất trinh,,
,,,,
■衣装、アイテム,,,,
,cloth_上着,Áo khoác,,
,cloth_くつ,Giày,,
,cloth_スカート,Váy,,
,cloth_タイツ,Quần tất,,
,cloth_シャツ,Áo sơ mi,,
,cloth_セーター,Áo len,,
,,,,
,cloth_リボン,Ruy băng,,
,cloth_ブラ,Áo lót,,
,cloth_パンツ,Quần lót,,
,cloth_ブラ_縞々,Áo lót (Sọc),,
,cloth_パンツ_縞々,Quần lót (Sọc),,
,cloth_ブラ_白,Áo lót (Trắng),,
,cloth_パンツ_白,Quần lót (Trắng),,
,cloth_ブラ_黒,Áo lót (Đen),,
,cloth_パンツ_黒,Quần lót (Đen),,
,cloth_ブラ_スポーツ,Áo lót (Thể thao),,
,cloth_パンツ_スポーツ,Quần lót (Thể thao),,
,cloth_tubetop,Áo ống,,
,,,,
,cloth_体操着_青,Đồ thể thao (Xanh),,■0801追加
,cloth_短パン,Quần đùi,,■0801追加
,cloth_ブルマ_青,Quần lót thể thao (Xanh),,■0801追加
,cloth_体操着_赤,Đồ thể thao (Đỏ),,■0801追加
